energy for block = 0.35477E+00 +/- 0.42427E+00
energy for block = 0.39025E+00 +/- 0.37594E+00
energy for block = 0.41281E+00 +/- 0.34263E+00
energy for block = 0.43149E+00 +/- 0.31090E+00
energy for block = 0.44755E+00 +/- 0.28413E+00
energy for block = 0.45993E+00 +/- 0.26725E+00
energy for block = 0.46423E+00 +/- 0.25912E+00
energy for block = 0.46936E+00 +/- 0.25180E+00
energy for block = 0.47689E+00 +/- 0.24058E+00
energy for block = 0.48220E+00 +/- 0.23286E+00
energy for block = 0.48596E+00 +/- 0.22896E+00
energy for block = 0.48886E+00 +/- 0.22542E+00
energy for block = 0.49334E+00 +/- 0.21859E+00
energy for block = 0.49568E+00 +/- 0.21611E+00
energy for block = 0.49724E+00 +/- 0.21584E+00
energy for block = 0.50152E+00 +/- 0.20973E+00
energy for block = 0.50148E+00 +/- 0.21462E+00
energy for block = 0.50177E+00 +/- 0.21442E+00
energy for block = 0.50179E+00 +/- 0.21262E+00
energy for block = 0.50207E+00 +/- 0.20996E+00
energy for block = 0.50380E+00 +/- 0.20314E+00
energy for block = 0.50404E+00 +/- 0.20593E+00
energy for block = 0.50545E+00 +/- 0.20518E+00
energy for block = 0.50341E+00 +/- 0.20749E+00
energy for block = 0.50188E+00 +/- 0.20892E+00
energy for block = 0.50439E+00 +/- 0.20377E+00
energy for block = 0.50689E+00 +/- 0.20005E+00
energy for block = 0.50684E+00 +/- 0.20143E+00
energy for block = 0.50252E+00 +/- 0.20935E+00
energy for block = 0.50311E+00 +/- 0.20690E+00
energy for block = 0.50270E+00 +/- 0.21245E+00
energy for block = 0.50477E+00 +/- 0.20830E+00
energy for block = 0.50518E+00 +/- 0.20707E+00
energy for block = 0.50711E+00 +/- 0.20463E+00
energy for block = 0.50476E+00 +/- 0.20819E+00
energy for block = 0.50491E+00 +/- 0.20460E+00
energy for block = 0.50687E+00 +/- 0.20119E+00
energy for block = 0.50692E+00 +/- 0.20112E+00
energy for block = 0.50721E+00 +/- 0.20140E+00
energy for block = 0.50450E+00 +/- 0.20732E+00
energy for block = 0.50367E+00 +/- 0.20950E+00
energy for block = 0.50227E+00 +/- 0.20839E+00
energy for block = 0.50301E+00 +/- 0.20994E+00
energy for block = 0.50165E+00 +/- 0.21085E+00
energy for block = 0.50273E+00 +/- 0.20582E+00
energy for block = 0.50509E+00 +/- 0.19864E+00
energy for block = 0.50544E+00 +/- 0.19671E+00
energy for block = 0.50724E+00 +/- 0.19613E+00
energy for block = 0.50838E+00 +/- 0.19428E+00
energy for block = 0.50841E+00 +/- 0.19478E+00
